ClientID,Age,Gender,Race,Ethnicity,VeteranStatus
397941,60.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
130335,48.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
188933,42.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
168290,57.0,Male,White (HUD),Hispanic/Latino (HUD),No (HUD)
123122,51.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
363382,30.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
165730,51.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
291392,56.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
359808,60.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
385539,59.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
360237,51.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
403745,31.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
404039,44.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
381869,75.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
397313,40.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
185069,42.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
399028,51.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
361024,50.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
324453,45.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
395548,55.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
393111,49.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
379956,50.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
397202,26.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
251488,49.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
395541,61.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
381870,53.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
392383,53.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
318262,36.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
381470,58.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
309651,26.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
333120,37.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
373187,51.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
362567,45.0,Female,White (HUD),Hispanic/Latino (HUD),No (HUD)
158414,58.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
