ClientID,Location,ZipCode
397941,NC-502 Durham City and County CoC,27701
130335,NC-502 Durham City and County CoC,29033
188933,NC-502 Durham City and County CoC,27703
168290,NC-502 Durham City and County CoC,27603
123122,NC-502 Durham City and County CoC,27510
363382,NC-502 Durham City and County CoC,23847
165730,NC-502 Durham City and County CoC,27533
291392,NC-502 Durham City and County CoC,27701
359808,NC-502 Durham City and County CoC,
385539,NC-502 Durham City and County CoC,27610
360237,NC-502 Durham City and County CoC,28551
403745,NC-502 Durham City and County CoC,27701
404039,,
381869,NC-502 Durham City and County CoC,
397313,NC-502 Durham City and County CoC,
185069,NC-502 Durham City and County CoC,27705
399028,NC-502 Durham City and County CoC,
361024,NC-502 Durham City and County CoC,28526
324453,NC-502 Durham City and County CoC,27701
395548,NC-502 Durham City and County CoC,27702
393111,NC-502 Durham City and County CoC,
379956,NC-502 Durham City and County CoC,27536
397202,NC-502 Durham City and County CoC,
251488,NC-502 Durham City and County CoC,27707
395541,NC-502 Durham City and County CoC,
381870,NC-502 Durham City and County CoC,27701
392383,NC-502 Durham City and County CoC,27701
318262,NC-502 Durham City and County CoC,27523
381470,NC-502 Durham City and County CoC,
309651,NC-502 Durham City and County CoC,23868
333120,NC-502 Durham City and County CoC,
373187,NC-502 Durham City and County CoC,27701
362567,NC-502 Durham City and County CoC,27701
158414,NC-502 Durham City and County CoC,27701
401630,NC-502 Durham City and County CoC,
401763,NC-502 Durham City and County CoC,
314853,NC-502 Durham City and County CoC,
400077,NC-502 Durham City and County CoC,27701
386115,NC-502 Durham City and County CoC,
399904,NC-502 Durham City and County CoC,
394031,NC-502 Durham City and County CoC,27701
402258,NC-502 Durham City and County CoC,
403050,NC-502 Durham City and County CoC,29526
383149,NC-502 Durham City and County CoC,27701
387590,NC-502 Durham City and County CoC,
403483,,
224787,NC-502 Durham City and County CoC,27705
225552,NC-502 Durham City and County CoC,27701
392386,NC-502 Durham City and County CoC,27701
262238,NC-502 Durham City and County CoC,
384147,NC-502 Durham City and County CoC,
403049,,
361597,NC-502 Durham City and County CoC,27701
365130,NC-502 Durham City and County CoC,27701
382672,NC-502 Durham City and County CoC,
397312,NC-502 Durham City and County CoC,
156978,NC-502 Durham City and County CoC,27705
398931,NC-502 Durham City and County CoC,27702
399459,NC-502 Durham City and County CoC,27702
384776,NC-502 Durham City and County CoC,
333631,NC-502 Durham City and County CoC,27703
166457,NC-502 Durham City and County CoC,27610
219392,NC-502 Durham City and County CoC,27704
397427,NC-502 Durham City and County CoC,27701
187276,NC-502 Durham City and County CoC,27701
217836,NC-502 Durham City and County CoC,27701
190759,NC-502 Durham City and County CoC,27701
397646,NC-502 Durham City and County CoC,27701
402256,NC-502 Durham City and County CoC,27701
296887,NC-502 Durham City and County CoC,27705
381763,NC-502 Durham City and County CoC,27703
195489,NC-502 Durham City and County CoC,27704
143061,NC-502 Durham City and County CoC,28401
399250,NC-502 Durham City and County CoC,
406857,NC-502 Durham City and County CoC,
181734,,27893
162076,NC-502 Durham City and County CoC,2705
